Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of functional leaves (shooting),Number of functional leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in bunch,Average weight of fruit on 3rd and 7th hand (g),Average length of fruit on 3rd and 7th hand (cm),Average diameter of fruit on 3rd and 7th hand (cm),Youngest leaf spotted (shooting),Number standing leaves (shooting),Index of non-spotted leaves (shooting)
SH34369,B,2,SH34369B2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,B,3,SH34369B3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,C,1,SH34369C1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,C,2,SH34369C2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,C,3,SH34369C3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,A,1,FHIA17A1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,A,2,FHIA17A2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,A,3,FHIA17A3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,B,1,FHIA17B1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,B,2,FHIA17B2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,B,3,FHIA17B3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,C,1,FHIA17C1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,C,2,FHIA17C2,ratoon,NA,NA,NA,NA,NA,90,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,C,3,FHIA17C3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,A,1,FHIA23A1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,A,2,FHIA23A2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,A,3,FHIA23A3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,B,1,FHIA23B1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,B,2,FHIA23B2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,B,3,FHIA23B3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,C,1,FHIA23C1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,C,2,FHIA23C2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,C,3,FHIA23C3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GrandNaine,A,1,GrandNaineA1,ratoon,NA,NA,NA,200,44,80,7,1,10.74,9,124,80.97,NA,NA,5,7,57.14
GrandNaine,A,2,GrandNaineA2,ratoon,NA,NA,NA,205,42,73,10,2,10.4,7,105,100,16.5,3.66,5,10,40
GrandNaine,A,3,GrandNaineA3,ratoon,NA,NA,NA,185,45,75,11,1,10.36,9,128,72.34,NA,NA,6,11,45.45
Local,A,1,LocalA1,ratoon,NA,NA,NA,317,60,105,10,1,11.64,9,150,41,8,2.96,7,10,60
Local,A,2,LocalA2,ratoon,NA,NA,NA,325,63,225,8,4,10.3,8,149,78,12.5,3.9,3,8,25
Local,A,3,LocalA3,ratoon,NA,NA,NA,360,67,108,8,2,9.25,8,118,57.5,11.55,3.26,5,8,50
GCTCV215,A,1,GCTCV215A1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,A,2,GCTCV215A2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,A,3,GCTCV215A3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,B,1,GCTCV215B1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,B,2,GCTCV215B2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,B,3,GCTCV215B3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,C,1,GCTCV215C1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,C,2,GCTCV215C2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,C,3,GCTCV215C3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,A,1,YangambiKm5A1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,A,2,YangambiKm5A2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,A,3,YangambiKm5A3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,B,1,YangambiKm5B1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,B,2,YangambiKm5B2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,B,3,YangambiKm5B3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,C,1,YangambiKm5C1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,C,2,YangambiKm5C2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,C,3,YangambiKm5C3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
